id,airport_ref,airport_ident,length_ft,width_ft,surface,le_ident,le_elevation_ft,le_heading_degT,he_ident,he_elevation_ft,he_heading_degT
242999,18821,K4I0,3515,60,ASP,6,1575,53.8,24,1576,233.8
240819,18822,K4I3,5001,75,ASP,10,1187,97.7,28,1183,277.7
245443,18823,K4I7,5000,100,ASP,18,842,181.1,36,810,1.1
241615,18824,K4I9,3497,75,ASP,10,1075,91,28,1085,271
244781,18825,K4J1,3000,50,ASP,1,81,6,19,80,186
243153,18826,K4J2,4006,75,ASP,10,240,94,28,234,274
242540,18827,K4J5,3600,75,ASP,9,,95,27,,275
242546,18828,K4J6,5000,100,ASP,4,23,33,22,21,213
242547,18828,K4J6,4000,75,ASP,13,24,127,31,21,307
243942,18829,K4J8,3000,50,ASP,16,,163,34,,343
240262,18830,K4K3,2925,40,ASP,4,691,42.4,22,689,222.4
240263,18830,K4K3,3100,125,GRE,13,,136,31,,316
240264,18830,K4K3,2250,125,GRE,18,,180,36,,360
244003,18831,K4K6,3401,50,CON,18,883,179.5,36,888,359.5
241882,18832,K4M1,3555,75,ASP,7,,73,25,,253
240563,18833,K4M2,3254,50,ASP,9,465,91,27,444,271
242020,18834,K4M3,4500,75,ASP,9,238,91.1,27,240,271.1
242021,18834,K4M3,4500,150,ASP,18,238,181.1,36,240,1.1
244530,18836,K4M7,3999,75,ASP,6,689,63,24,655,243
244860,18837,K4M9,4299,60,ASP,18,292,180.6,36,292,0.6
240350,18838,K4N1,3470,60,ASP,6,789,48,24,789,228
239991,18840,K4O4,5000,75,ASP,2,472,23.2,20,460,203.2
244771,18841,K4O5,3570,50,ASP,17,,180,35,1177,360
244310,18842,K4P3,3100,60,ASP,10,,108,28,,288
241328,18843,K4R1,3000,75,ASP,14,,153,32,,333
240211,18844,K4R3,5003,80,ASPH-G,1,62,9,19,34,189
242001,18845,K4R4,6604,100,ASP,1,86,7,19,91,187
241887,18846,K4R5,3000,75,ASP,4,624,39,22,648,219
241564,18847,K4R7,5001,75,ASP,16,39,166,34,42,346
241418,18848,K4R9,3000,80,ASP,12,5,123,30,5,303
240276,18849,K4S1,3200,75,ASP,16,,176,34,,356
243069,18850,K4S2,3040,75,ASP,7,,88,25,,268
242640,18851,K4S3,5200,60,ASP,15,4063,167,33,4121,347
245144,18852,K4S9,3600,100,ASP,14,248,160,32,260,340
244092,18853,K4SD,7608,150,ASP,8,4992,96,26,5050,276
244093,18853,K4SD,9000,150,ASP,14,5041,154,32,5043,334
243087,18854,K4T2,3000,125,ASP,12,,123,30,,303
243088,18854,K4T2,6000,125,CON,17,,176,35,,356
244147,18855,K4U6,2500,195,GRS,3,,48,21,,228
244148,18855,K4U6,4100,75,ASPH-G,12,,138,30,,318
245201,18856,K4U9,7000,70,ASP,14,,157,32,,337
244108,18857,K4V0,2100,60,ASP,3,5237,44.2,21,5243,224.2
244109,18857,K4V0,6408,75,ASP,6,5234,77.4,24,5275,257.4
241392,18858,K4V1,2500,40,GRS,3,6050,30.1,21,6026,210.1
241393,18858,K4V1,4896,60,ASP,8,6019,93.8,26,6019,273.8
240439,18859,K4V4,3160,60,ASP,8,,89,26,1117,269
245067,18860,K4V9,3700,60,CONC-G,1,,,19,,
245066,18860,K4V9,3310,50,ASPH-G,13,1735,,31,1730,
240646,18861,K4X4,3600,60,ASP,12,,120,30,,300
242176,18862,K4Y4,4285,40,ASP,5,1286,53,23,1286,233
251913,18863,K50,1600,50,TURF-G,1,1340,,19,1325,
251914,18863,K50,2507,40,ASPH-G,17,,,35,,
243926,18864,K50D,2700,145,GRS,2,,16.9,20,,196.9
243927,18864,K50D,3700,50,ASP,12,,116.9,30,,296.9
241171,18865,K50F,4092,60,ASP,17,873,171,35,836,351
244475,18866,K50I,3504,50,ASP,9,698,90.3,27,698,270.3
242779,18868,K50R,4001,75,ASP,18,532,182,36,524,2
245626,18869,K51A,3000,60,ASP,10,,100,28,,280
240452,18870,K51D,3600,60,ASP,14,1600,147,32,1585,327
243194,18871,K51J,3700,75,ASP,1,80,6.2,19,80,186.2
245460,18872,K51R,3202,50,ASP,18,287,190.1,36,260,10.1
244200,18873,K52A,3806,50,ASP,14,636,141,32,694,321
242881,18874,K52F,3500,40,ASP,17,643,180,35,,360
240623,18875,K52J,3202,60,ASP,6,211,50.6,24,188,230.6
245817,18876,K53A,4220,75,ASP,18,335,181,36,337,1
245580,18877,K54F,4450,50,ASP,17,1922,180,35,,360
240762,18878,K54J,4100,60,ASP,9,288,90,27,272,270
240763,18878,K54J,2700,50,GRE,18,283,180,36,270,360
242615,18879,K54T,5035,40,ASP,8,30,89,26,27,269
242616,18879,K54T,3500,100,GRS,14,33,147.5,32,28,327.5
253603,18880,K55,2530,9,TURF-GRVL-P,5,,,23,,
244871,18881,K55J,5300,100,ASP,4,13,36,22,14,216
244872,18881,K55J,4999,100,ASP,8,12,82,26,14,262
244873,18881,K55J,5152,100,ASP,13,12,126,31,15,306
244874,18881,K55J,3580,150,ASP,18,13,171,36,13,351
243395,18882,K55K,3380,60,ASP,17,,177.3,35,,357.3
245061,18883,K55M,3000,60,ASP,18,,180,36,,360
239768,18884,K55Y,3200,60,ASP,16,1211,161.7,34,1183,341.7
245039,18885,K56D,3997,75,ASP,18,824,180.3,36,828,0.3
242469,18886,K56F,2800,50,GVL,7,,73,25,,253
242470,18886,K56F,3300,60,ASP,16,1941,165,34,,345
242588,18887,K57C,3900,75,ASP,8,843,79,26,860,259
242589,18887,K57C,2446,150,GRS,18,838,183,36,828,3
243290,18888,K57S,3570,30,ASP,14,,158,32,,338
240143,18889,K58M,3000,70,ASP,13,106,116,31,62,296
243356,18890,K5A1,4210,75,ASP,10,834,90.2,28,852,270.2
241676,18891,K5A4,3200,60,ASP,18,333,180,36,335,360
242813,18892,K5A6,3000,50,ASP,3,363,30,21,352,210
243983,18893,K5A9,3000,75,ASP,17,880,170,35,873,350
240317,18894,K5B2,4700,100,PEM,5,433,39,23,424,219
240318,18894,K5B2,4000,100,PEM,14,432,128.6,32,425,308.6
243103,18895,K5B5,2500,80,GRS,8,1960,90,26,1970,270
243104,18895,K5B5,3200,60,ASP,12,1959,129,30,1985,309
245278,18896,K5C1,4340,60,ASP,17,1380,173.6,35,,353.6
241255,18897,K5C3,3850,60,ASP,17,,180,35,,360
240470,18898,K5C8,3700,60,CON,8,1905,81,26,1904,261
240471,18898,K5C8,2235,120,GRS,17,1905,188,35,1905,8
241598,18899,K5F0,3000,75,ASP,14,,144.7,32,,324.7
243067,18900,K5F1,2210,60,ASP,6,2545,68,24,2523,248
243068,18900,K5F1,4200,60,ASP,17,2518,181,35,2520,1
243406,18901,K5F4,3199,60,ASP,12,,122.6,30,,302.6
240580,18902,K5G6,3570,180,GRE,10,,90,28,,270
245731,18903,K5G7,4126,75,ASP,5,850,51.7,23,846,231.7
244355,18904,K5H4,3600,60,ASP,11,1603,120,29,1604,300
243302,18905,K5I4,3760,50,ASP,5,930,52,23,932,232
243303,18905,K5I4,3590,88,GRS,9,936,88.4,27,934,268.4
241820,18907,K5J9,3694,60,ASP,8,99,73.6,26,99,253.6
239979,18908,K5K1,2900,32,ASP,18,655,179,36,663,359
240438,18910,K5L0,3500,60,ASP,15,1512,165,33,1510,345
244711,18911,K5M0,3599,75,ASP,18,628,181,36,599,1
241271,18912,K5M3,3625,50,ASP,2,,4,20,,184
240451,18913,K5M4,3183,60,ASPH-E,5,193,48,23,186,228
242678,18914,K5M5,3865,75,ASP,13,1154,134,31,1180,314
242437,18915,K5M8,4403,60,ASP,8,,90,26,,270
240090,18916,K5M9,5001,75,ASP,7,650,66,25,628,246
245767,18917,K5N2,3250,60,ASP,9,,93.6,27,,273.6
240450,18918,K5N8,3900,75,CON,13,932,136,31,926,316
241274,18919,K5P2,3800,60,ASP,13,1996,140,31,1999,320
245700,18920,K5R1,4000,80,ASP,12,,120,30,,300
